# Qboost UI strings. Columns: key<TAB>en<TAB>es<TAB>ja<TAB>fr<TAB>ar<TAB>ko<TAB>zh<TAB>pt<TAB>de<TAB>ru<TAB>hi<TAB>id<TAB>tr
key	en	es	ja	fr	ar	ko	zh	pt	de	ru	hi	id	tr
scaler_pick_app	Choose “A single app” and pick your game	Elige «Una sola app» y selecciona tu juego	「1つのアプリ」を選んでゲームを選択してください	Choisissez « Une seule appli » puis votre jeu	اختر «تطبيق واحد» ثم لعبتك	‘단일 앱’을 선택하고 게임을 고르세요	请选择“单个应用”并选择你的游戏	Escolha “Um único app” e selecione seu jogo	Wähle „Eine einzelne App“ und dein Spiel	Выберите «Одно приложение» и свою игру	“एक ऐप” चुनें और अपना गेम चुनें	Pilih “Satu aplikasi” lalu pilih game Anda	“Tek bir uygulama”yı seçip oyununuzu seçin
scaler_failed	Scaler could not start	No se pudo iniciar el escalador	スケーラーを開始できませんでした	Impossible de démarrer le scaler	تعذر تشغيل المُحسِّن	스케일러를 시작할 수 없습니다	无法启动缩放器	Não foi possível iniciar o scaler	Scaler konnte nicht gestartet werden	Не удалось запустить скейлер	स्केलर शुरू नहीं हो सका	Scaler tidak dapat dimulai	Ölçekleyici başlatılamadı
scaler_denied	Screen capture was not allowed	No se permitió la captura de pantalla	画面キャプチャが許可されませんでした	La capture d'écran n'a pas été autorisée	لم يُسمح بالتقاط الشاشة	화면 캡처가 허용되지 않았습니다	未允许屏幕捕获	A captura de tela não foi permitida	Bildschirmaufnahme wurde nicht erlaubt	Захват экрана не разрешён	स्क्रीन कैप्चर की अनुमति नहीं मिली	Tangkapan layar tidak diizinkan	Ekran yakalamaya izin verilmedi
view_details	View details	Ver detalles	詳細を見る	Voir les détails	عرض التفاصيل	자세히 보기	查看详情	Ver detalhes	Details ansehen	Подробности	विवरण देखें	Lihat detail	Ayrıntıları gör
details_video	Video	Vídeo	動画	Vidéo	فيديو	동영상	视频	Vídeo	Video	Видео	वीडियो	Video	Video
details_gallery	Gallery	Galería	ギャラリー	Galerie	المعرض	갤러리	图库	Galeria	Galerie	Галерея	गैलरी	Galeri	Galeri
details_rating	Rating	Valoración	評価	Note	التقييم	평점	评分	Avaliação	Bewertung	Рейтинг	रेटिंग	Peringkat	Puan
details_developer	Developer	Desarrollador	開発元	Développeur	المطوّر	개발자	开发者	Desenvolvedor	Entwickler	Разработчик	डेवलपर	Pengembang	Geliştirici
details_release	Release date	Fecha de lanzamiento	発売日	Date de sortie	تاريخ الإصدار	출시일	发布日期	Data de lançamento	Erscheinungsdatum	Дата выхода	रिलीज़ की तारीख	Tanggal rilis	Çıkış tarihi
details_age	Age rating	Clasificación por edad	年齢区分	Classification d'âge	التصنيف العمري	연령 등급	年龄分级	Classificação etária	Altersfreigabe	Возрастной рейтинг	आयु रेटिंग	Peringkat usia	Yaş derecelendirmesi
details_requirements	Requirements	Requisitos	動作要件	Configuration requise	المتطلبات	요구 사양	系统要求	Requisitos	Anforderungen	Требования	आवश्यकताएँ	Persyaratan	Gereksinimler
details_engine	Game engine	Motor del juego	ゲームエンジン	Moteur de jeu	محرك اللعبة	게임 엔진	游戏引擎	Motor do jogo	Spiel-Engine	Игровой движок	गेम इंजन	Mesin game	Oyun motoru
details_app_size	App size	Tamaño de la app	アプリサイズ	Taille de l'appli	حجم التطبيق	앱 크기	应用大小	Tamanho do app	App-Größe	Размер приложения	ऐप का आकार	Ukuran aplikasi	Uygulama boyutu
details_arch	Architecture	Arquitectura	アーキテクチャ	Architecture	البنية	아키텍처	架构	Arquitetura	Architektur	Архитектура	आर्किटेक्चर	Arsitektur	Mimari
details_intro	Game introduction	Introducción al juego	ゲーム紹介	Présentation du jeu	نبذة عن اللعبة	게임 소개	游戏介绍	Apresentação do jogo	Spielvorstellung	О игре	गेम परिचय	Pengenalan game	Oyun tanıtımı
details_no_trailer	No trailer yet	Aún no hay tráiler	トレーラーはまだありません	Pas encore de bande-annonce	لا يوجد مقطع دعائي بعد	아직 트레일러가 없습니다	暂无预告片	Ainda sem trailer	Noch kein Trailer	Трейлера пока нет	अभी कोई ट्रेलर नहीं	Belum ada trailer	Henüz fragman yok
details_no_gallery	No screenshots yet	Aún no hay capturas	スクリーンショットはまだありません	Pas encore de captures	لا توجد لقطات شاشة بعد	아직 스크린샷이 없습니다	暂无截图	Ainda sem capturas de tela	Noch keine Screenshots	Скриншотов пока нет	अभी कोई स्क्रीनशॉट नहीं	Belum ada tangkapan layar	Henüz ekran görüntüsü yok
details_loading	Loading details...	Cargando detalles...	詳細を読み込み中...	Chargement des détails...	جارٍ تحميل التفاصيل...	세부 정보 불러오는 중...	正在加载详情...	Carregando detalhes...	Details werden geladen...	Загрузка подробностей...	विवरण लोड हो रहा है...	Memuat detail...	Ayrıntılar yükleniyor...
details_get_on_play	Get on Google Play	Obtener en Google Play	Google Playで入手	Obtenir sur Google Play	احصل عليها من Google Play	Google Play에서 받기	在 Google Play 获取	Baixar no Google Play	Bei Google Play laden	Скачать в Google Play	Google Play पर पाएं	Dapatkan di Google Play	Google Play'den edinin
details_and_up	%s and up	%s o superior	%s以降	%s et plus	%s فأعلى	%s 이상	%s 及以上	%s ou superior	%s und höher	%s и выше	%s और उससे ऊपर	%s ke atas	%s ve üzeri
set_notifications	Notifications	Notificaciones	通知	Notifications	الإشعارات	알림	通知	Notificações	Benachrichtigungen	Уведомления	सूचनाएं	Notifikasi	Bildirimler
push_notifications	Push notifications	Notificaciones push	プッシュ通知	Notifications push	الإشعارات الفورية	푸시 알림	推送通知	Notificações push	Push-Benachrichtigungen	Push-уведомления	पुश नोटिफ़िकेशन	Notifikasi push	Anlık bildirimler
push_notifications_desc	Please change this in your phone settings under “Notifications” for Qboost	Cámbialo en los ajustes del teléfono, en «Notificaciones», para Qboost	変更するには、スマートフォンの設定の「通知」でQboostを選んでください	Veuillez modifier cela dans les paramètres du téléphone, sous « Notifications » pour Qboost	يرجى تغيير ذلك من إعدادات هاتفك ضمن «الإشعارات» الخاصة بـ Qboost	휴대전화 설정의 ‘알림’에서 Qboost 항목을 변경해 주세요	请在手机设置的“通知”中为 Qboost 更改此项	Altere isso nas configurações do telefone, em “Notificações” do Qboost	Bitte ändere dies in den Telefoneinstellungen unter „Benachrichtigungen“ für Qboost	Измените это в настройках телефона, раздел «Уведомления» для Qboost	कृपया इसे अपने फ़ोन की सेटिंग में Qboost के “सूचनाएं” में बदलें	Ubah ini di pengaturan ponsel, di bagian “Notifikasi” untuk Qboost	Bunu telefon ayarlarında Qboost için “Bildirimler” altından değiştirin
update_alerts	Update alerts	Avisos de actualización	アップデート通知	Alertes de mise à jour	تنبيهات التحديث	업데이트 알림	更新提醒	Alertas de atualização	Update-Hinweise	Уведомления об обновлениях	अपडेट अलर्ट	Peringatan pembaruan	Güncelleme uyarıları
update_alerts_desc	Notify me when a new Qboost version is available	Avisarme cuando haya una nueva versión de Qboost	新しいQboostバージョンがあるときに通知します	Me prévenir quand une nouvelle version de Qboost est disponible	أبلغني عند توفر إصدار جديد من Qboost	새 Qboost 버전이 있으면 알려 주세요	有新版 Qboost 时通知我	Avisar quando houver uma nova versão do Qboost	Benachrichtige mich, wenn eine neue Qboost-Version verfügbar ist	Уведомлять о выходе новой версии Qboost	नया Qboost संस्करण उपलब्ध होने पर सूचित करें	Beri tahu saya jika versi Qboost baru tersedia	Yeni bir Qboost sürümü olduğunda bana bildir
update_notif_title	Qboost update available	Actualización de Qboost disponible	Qboostのアップデートがあります	Mise à jour de Qboost disponible	تحديث Qboost متاح	Qboost 업데이트 사용 가능	Qboost 有可用更新	Atualização do Qboost disponível	Qboost-Update verfügbar	Доступно обновление Qboost	Qboost अपडेट उपलब्ध है	Pembaruan Qboost tersedia	Qboost güncellemesi mevcut
update_notif_text	Version %s is available	La versión %s está disponible	バージョン%sが利用可能です	La version %s est disponible	الإصدار %s متاح	버전 %s을(를) 사용할 수 있습니다	版本 %s 现已可用	A versão %s está disponível	Version %s ist verfügbar	Доступна версия %s	संस्करण %s उपलब्ध है	Versi %s tersedia	%s sürümü mevcut
details_video_failed	Couldn't play the video here	No se pudo reproducir aquí	ここでは動画を再生できませんでした	Impossible de lire la vidéo ici	تعذر تشغيل الفيديو هنا	여기서 동영상을 재생할 수 없습니다	无法在此播放视频	Não foi possível reproduzir o vídeo aqui	Video konnte hier nicht abgespielt werden	Не удалось воспроизвести видео здесь	यहां वीडियो चलाया नहीं जा सका	Video tidak dapat diputar di sini	Video burada oynatılamadı
details_open_externally	Open video	Abrir vídeo	動画を開く	Ouvrir la vidéo	فتح الفيديو	동영상 열기	打开视频	Abrir vídeo	Video öffnen	Открыть видео	वीडियो खोलें	Buka video	Videoyu aç
controller_status	Controller connected											
network_status	Online											
tool_rotation_lock	Rotation Lock											
tool_dnd	Do Not Disturb											
tool_brightness_lock	Lock Brightness											
tool_crosshair	Crosshair											
tool_show_taps	Show Taps											
tool_dns	DNS Tuner											
tool_screenshot	Screenshot											
tool_gyro	Gyro Calibration											
library_view_toggle	Switch library view											
